size_bin,delta_mean,count,method
"(0, 10]",0.3298557277929751,690,min_k
"(10, 20]",0.18945783116096496,1048,min_k
"(20, 30]",0.06364951847282448,379,min_k
"(30, 40]",0.02156545122175076,274,min_k
