size_bin,delta_mean,count,method
"(0, 5]",0.02191024243210212,524,doc
"(5, 10]",0.037676092651200074,166,doc
"(10, 15]",0.010766360030707913,864,doc
"(15, 20]",0.0022395042634823685,184,doc
"(20, 25]",0.004331293827278047,266,doc
"(25, 30]",4.0294842737249414e-05,113,doc
"(30, 35]",2.0977048502637214e-06,184,doc
"(35, 40]",3.7315936668815235e-05,89,doc
"(40, 45]",5.110721994303069e-05,60,doc
