size_bin,delta_mean,count,method
"(0, 5]",0.10701335877862594,524,ref
"(5, 10]",0.19338975903614458,166,ref
"(10, 15]",0.06880798611111111,864,ref
"(15, 20]",0.03354510869565217,184,ref
"(20, 25]",0.02553796992481203,266,ref
"(25, 30]",0.006500000000000001,113,ref
"(30, 35]",0.0023918918918918917,185,ref
"(35, 40]",0.010919101123595506,89,ref
"(40, 45]",-0.00030000000000000024,60,ref
