size_bin,delta_mean,count,method
"(0, 5]",0.00011259541984732825,524,zlib
"(5, 10]",0.00024819277108433733,166,zlib
"(10, 15]",8.275462962962962e-05,864,zlib
"(15, 20]",3.369565217391304e-05,184,zlib
"(20, 25]",1.6917293233082707e-05,266,zlib
"(25, 30]",1.7699115044247788e-06,113,zlib
"(30, 35]",-5.405405405405405e-07,185,zlib
"(35, 40]",5.617977528089888e-06,89,zlib
"(40, 45]",-3.3333333333333333e-06,60,zlib
