size_bin,delta_mean,count,method
"(0, 5]",-0.012094339622641507,53,NE
"(5, 10]",0.05276923076923076,13,NE
"(10, 15]",0.14450229885057472,87,NE
"(15, 20]",0.169075,16,NE
"(20, 25]",0.03501851851851852,27,NE
"(25, 30]",0.011377777777777775,9,NE
"(30, 35]",-0.01690909090909091,22,NE
"(35, 40]",-0.020890909090909095,11,NE
"(40, 45]",0.052766666666666656,3,NE
