size_bin,delta_mean,count,method
"(0, 5]",0.20247003816793893,524,dcpdd
"(5, 10]",0.4291018072289157,166,dcpdd
"(10, 15]",0.2516361111111111,864,dcpdd
"(15, 20]",0.04569456521739129,184,dcpdd
"(20, 25]",0.16162406015037592,266,dcpdd
"(25, 30]",0.06760353982300886,113,dcpdd
"(30, 35]",0.04942162162162163,185,dcpdd
"(35, 40]",0.08965280898876404,89,dcpdd
"(40, 45]",0.00794666666666667,60,dcpdd
