size_bin,delta_mean,count,method
"(0, 10]",0.1277935071413938,690,loss
"(10, 20]",0.06261685170286238,1048,loss
"(20, 30]",0.019863255160410456,379,loss
"(30, 40]",0.005161259170986464,274,loss
